2019-04-20 14:16:17,290 [main] INFO  c.e.b.e.user.EgbootUserApplication 50 - Starting EgbootUserApplication on DESKTOP-6KL1BNP with PID 66716 (I:\IdeaProjects\springboot-everythinggrows\egboot-user\target\classes started by MA in I:\IdeaProjects\springboot-everythinggrows\egboot-user)
2019-04-20 14:16:17,464 [main] INFO  c.e.b.e.user.EgbootUserApplication 675 - No active profile set, falling back to default profiles: default
2019-04-20 14:16:26,403 [main] WARN  o.m.s.mapper.ClassPathMapperScanner 44 - No MyBatis mapper was found in '[cn.everythinggrows.boot.egboot.user]' package. Please check your configuration.
2019-04-20 14:16:27,217 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 244 - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-04-20 14:16:27,217 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 126 - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-04-20 14:16:27,452 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 182 - Finished Spring Data repository scanning in 111ms. Found 0 repository interfaces.
2019-04-20 14:16:27,702 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 244 - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-04-20 14:16:27,718 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 126 - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-04-20 14:16:27,973 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 182 - Finished Spring Data repository scanning in 16ms. Found 0 repository interfaces.
2019-04-20 14:16:29,741 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker 330 - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$d45f42ac] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-04-20 14:16:32,473 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 90 - Tomcat initialized with port(s): 8083 (http)
2019-04-20 14:16:32,644 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Initializing ProtocolHandler ["http-nio-8083"]
2019-04-20 14:16:32,783 [main] INFO  o.a.catalina.core.StandardService 173 - Starting service [Tomcat]
2019-04-20 14:16:32,784 [main] INFO  o.a.catalina.core.StandardEngine 173 - Starting Servlet engine: [Apache Tomcat/9.0.16]
2019-04-20 14:16:32,814 [main] INFO  o.a.c.core.AprLifecycleListener 173 - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jdk1.8.0_161\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;D:\software\xshell\;C:\ProgramData\Oracle\Java\javapath;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\Program Files\Git\cmd;C:\WINDOWS\System32\OpenSSH\;I:\redis\;I:\zookepper\zookeeper-3.3.6\bin;I:\zookepper\zookeeper-3.3.6\conf;D:\software\edius\EDIUS 9\QTSystem\;C:\Program Files\MySQL\MySQL Server 5.5\bin;C:\Users\MA\AppData\Local\Programs\Python\Python37\bin;C:\Users\MA\AppData\Local\Programs\Python\Python37\Scripts\;C:\Users\MA\AppData\Local\Programs\Python\Python37\;C:\Users\MA\AppData\Local\Microsoft\WindowsApps;D:\software\pycharm\PyCharm Community Edition 2019.1.1\bin;;C:\phantomjs-2.1.1-windows\bin;;.]
2019-04-20 14:16:34,271 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] 173 - Initializing Spring embedded WebApplicationContext
2019-04-20 14:16:34,271 [main] INFO  o.s.web.context.ContextLoader 296 - Root WebApplicationContext: initialization completed in 15781 ms
2019-04-20 14:16:37,047 [main] INFO  c.alibaba.druid.pool.DruidDataSource 928 - {dataSource-1} inited
2019-04-20 14:16:37,833 [main] INFO  o.h.jpa.internal.util.LogHelper 31 - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2019-04-20 14:16:38,989 [main] INFO  org.hibernate.Version 46 - HHH000412: Hibernate Core {5.3.7.Final}
2019-04-20 14:16:39,004 [main] INFO  org.hibernate.cfg.Environment 213 - HHH000206: hibernate.properties not found
2019-04-20 14:16:41,986 [main] INFO  o.h.annotations.common.Version 49 - HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
2019-04-20 14:16:43,007 [main] INFO  org.hibernate.dialect.Dialect 157 - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2019-04-20 14:16:44,211 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean 415 - Initialized JPA EntityManagerFactory for persistence unit 'default'
2019-04-20 14:16:47,146 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor 171 - Initializing ExecutorService 'applicationTaskExecutor'
2019-04-20 14:16:47,379 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration 236 - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2019-04-20 14:16:50,431 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Starting ProtocolHandler ["http-nio-8083"]
2019-04-20 14:16:50,446 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 204 - Tomcat started on port(s): 8083 (http) with context path ''
2019-04-20 14:16:50,446 [main] INFO  c.e.b.e.user.EgbootUserApplication 59 - Started EgbootUserApplication in 35.729 seconds (JVM running for 44.935)
2019-04-20 14:26:41,423 [http-nio-8083-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] 173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-04-20 14:26:41,424 [http-nio-8083-exec-2] INFO  o.s.web.servlet.DispatcherServlet 524 - Initializing Servlet 'dispatcherServlet'
2019-04-20 14:26:41,436 [http-nio-8083-exec-2] INFO  o.s.web.servlet.DispatcherServlet 546 - Completed initialization in 12 ms
2019-04-20 14:26:52,379 [http-nio-8083-exec-2] INFO  c.e.b.e.user.service.UserAccountImpl 79 - 1020854430@qq.com邮件发送成功============================
